24
34
01 small yellow circle  495.59 336.59 
44 small blue triangle  60.24 748.24 
45 large yellow semi-circle  291.26 169.26 
46 small blue square  169.54 43.54 
47 medium blue semi-circle  475.14 796.14 
48 large green square  420.38 602.38 
49 small yellow semi-circle  80.08 1130.08 
50 large red semi-circle  701.26 281.26 
51 large green cross  1317.10 1090.10 
52 medium red cross  1079.62 1123.62 
53 medium purple semi-circle  711.14 1064.14 
54 large red triangle  966.85 410.85 
55 large blue semi-circle  661.26 814.26 
56 large blue triangle  1408.85 904.85 
57 large yellow cross  301.10 461.10 
58 small red circle  1544.59 972.59 
59 large yellow square  1362.38 179.38 
60 medium yellow square  1526.07 715.07 
61 medium green circle  1494.17 48.17 
62 small blue cross  114.32 551.32 
63 small red cross  796.32 464.32 
64 large green semi-circle  1088.26 710.26 
65 large red circle  1338.56 698.56 
66 small purple triangle  45.24 619.24 
67 medium red triangle  425.47 927.47 
68 medium purple cross  1485.62 326.62 
69 medium blue cross  1310.62 394.62 
70 small yellow circle  1551.59 831.59 
71 medium blue triangle  1532.47 586.47 
72 medium green triangle  977.47 227.47 
73 small purple circle  104.59 829.59 
74 large red square  544.38 1059.38 
75 medium yellow cross  1109.62 870.62 

43
70
01 medium green circle  416.17 1028.17 
02 small green semi-circle  610.08 738.08 
03 small yellow cross  1550.32 84.32 
04 medium green cross  1445.62 109.62 
05 medium purple cross  1096.62 544.62 
06 large blue triangle  1402.85 711.85 
07 medium yellow circle  1073.17 971.17 
08 large red square  109.38 511.38 
09 small red circle  559.59 609.59 
10 large blue semi-circle  883.26 589.26 
11 large red triangle  647.85 130.85 
12 large yellow cross  557.10 1064.10 
13 small purple circle  1560.59 461.59 
14 medium green triangle  80.47 279.47 
15 small purple cross  1309.32 545.32 
16 medium purple circle  380.17 550.17 
17 large purple circle  690.56 614.56 
18 small yellow circle  490.59 530.59 
19 large red cross  1129.10 748.10 
20 large purple square  509.38 835.38 
21 large green cross  632.10 435.10 
22 medium red cross  105.62 88.62 
23 small purple square  1530.54 1163.54 
24 small red semi-circle  1336.08 464.08 
25 large green triangle  1267.85 911.85 
26 medium yellow semi-circle  693.14 967.14 
27 medium blue semi-circle  786.14 423.14 
28 small yellow square  295.54 41.54 
29 large red circle  390.56 360.56 
30 medium red triangle  1093.47 1131.47 
31 small green square  968.54 1154.54 
32 large blue cross  1207.10 404.10 
33 small red cross  65.32 391.32 
34 small yellow triangle  670.24 284.24 
35 small purple triangle  794.24 94.24 
36 large green semi-circle  312.26 833.26 
37 medium blue square  897.07 118.07 
38 medium blue cross  1191.62 608.62 
39 large purple triangle  239.85 208.85 
40 large blue circle  1259.56 1114.56 
41 medium blue triangle  332.47 1127.47 
42 small blue semi-circle  500.08 446.08 
43 medium yellow triangle  1532.47 248.47 
44 large purple cross  212.10 999.10 
45 medium blue circle  765.17 246.17 
46 medium purple triangle  1425.47 1110.47 
47 large blue square  920.38 811.38 
48 small blue triangle  178.24 1127.24 
49 medium red square  1448.07 506.07 
50 medium yellow cross  739.62 1114.62 
51 small red triangle  392.24 227.24 
52 large yellow triangle  1315.85 216.85 
53 medium red circle  1024.17 440.17 
54 large green square  962.38 301.38 
55 large yellow circle  1441.56 371.56 
56 medium red semi-circle  456.14 663.14 
57 medium purple square  727.07 826.07 
58 small yellow semi-circle  1552.08 739.08 
59 large yellow semi-circle  1128.26 99.26 
60 large green circle  241.56 396.56 
61 small green cross  769.32 719.32 
62 medium green semi-circle  462.14 132.14 
63 small blue square  448.54 1131.54 
64 small blue cross  791.32 907.32 
65 small red square  87.54 641.54 
66 medium green square  257.07 619.07 
67 small green circle  1568.59 586.59 
68 large red semi-circle  899.26 1014.26 
69 large yellow square  116.38 785.38 
70 small purple semi-circle  1095.08 265.08 
71 small green triangle  1333.24 42.24 
72 medium purple semi-circle  70.14 1090.14 
73 large purple semi-circle  1500.26 937.26 
74 medium yellow square  563.07 278.07 
75 small blue circle  102.59 910.59 

44
59
01 large red square  1479.38 788.38 
02 medium purple triangle  728.47 1101.47 
03 medium green semi-circle  63.14 586.14 
04 medium yellow semi-circle  401.14 692.14 
05 large blue triangle  910.85 485.85 
06 small blue circle  1293.59 1104.59 
07 medium yellow circle  708.17 501.17 
08 medium blue square  628.07 662.07 
09 small yellow semi-circle  57.08 914.08 
10 medium purple cross  1063.62 1121.62 
11 small blue semi-circle  934.08 925.08 
12 medium green triangle  1228.47 269.47 
13 large blue semi-circle  239.26 585.26 
14 small red semi-circle  967.08 54.08 
15 large purple cross  987.10 275.10 
16 small red square  1532.54 1112.54 
17 small purple triangle  178.24 877.24 
18 small green semi-circle  68.08 83.08 
19 medium green cross  352.62 1147.62 
20 large yellow triangle  832.85 138.85 
21 small blue triangle  1065.24 443.24 
22 medium blue semi-circle  384.14 110.14 
23 small red circle  1521.59 232.59 
24 medium red square  1181.07 1144.07 
25 large blue square  99.38 739.38 
26 small purple cross  517.32 666.32 
27 medium purple semi-circle  1087.14 556.14 
28 medium red triangle  825.47 315.47 
29 small blue cross  79.32 186.32 
30 large red triangle  164.85 1032.85 
31 medium green square  1475.07 617.07 
32 medium purple circle  844.17 869.17 
33 large green semi-circle  682.26 846.26 
34 large red cross  581.10 227.10 
35 medium red circle  704.17 336.17 
36 small yellow circle  43.59 456.59 
37 small red triangle  449.24 212.24 
38 small green square  1314.54 557.54 
39 small red cross  764.32 406.32 
40 medium red cross  1311.62 823.62 
41 large blue circle  929.56 679.56 
42 medium blue triangle  618.47 76.47 
43 medium yellow cross  215.62 414.62 
44 large yellow semi-circle  457.26 524.26 
45 small yellow cross  158.32 178.32 
46 large purple circle  1213.56 667.56 
47 large purple square  1032.38 807.38 
48 large yellow square  400.38 995.38 
49 large yellow circle  1293.56 109.56 
50 small yellow square  1389.54 674.54 
51 small green circle  324.59 446.59 
52 large green triangle  1411.85 1018.85 
53 large blue cross  85.10 330.10 
54 small purple circle  818.59 766.59 
55 large red semi-circle  1455.26 430.26 
56 medium red semi-circle  502.14 1117.14 
57 large green circle  492.56 850.56 
58 medium yellow square  1380.07 284.07 
59 large green square  307.38 295.38 
60 medium blue circle  635.17 426.17 
61 medium green circle  221.17 69.17 
62 large yellow cross  893.10 1055.10 
63 small green cross  709.32 235.32 
64 small purple semi-circle  742.08 640.08 
65 small blue square  1560.54 938.54 
66 medium blue cross  289.62 840.62 
67 large purple triangle  1113.85 110.85 
68 small yellow triangle  500.24 65.24 
69 large purple semi-circle  1171.26 946.26 
70 small green triangle  624.24 556.24 
71 large green cross  1517.10 106.10 
72 small purple square  1560.54 1019.54 
73 medium yellow triangle  486.47 349.47 
74 large red circle  1188.56 424.56 
75 medium purple square  600.07 1035.07 

45
9
01 medium green triangle  1371.47 138.47 
02 small purple circle  590.59 374.59 
03 large green circle  1496.56 461.56 
04 medium purple circle  436.17 1103.17 
05 large red semi-circle  1406.26 957.26 
06 medium red circle  518.17 122.17 
07 medium purple semi-circle  558.14 1081.14 
08 small yellow cross  1067.32 788.32 
09 medium yellow semi-circle  1211.14 671.14 
10 medium red square  1334.07 548.07 
11 medium blue square  681.07 673.07 
12 medium blue triangle  1008.47 1100.47 
13 medium purple square  561.07 682.07 
14 small purple cross  1150.32 287.32 
15 small red circle  257.59 612.59 
16 large yellow triangle  999.85 382.85 
17 large purple circle  722.56 416.56 
18 small purple triangle  170.24 836.24 
19 medium purple cross  652.62 63.62 
20 large red square  1477.38 283.38 
21 large red cross  90.10 948.10 
22 medium blue semi-circle  1286.14 248.14 
23 large blue square  407.38 292.38 
24 large purple triangle  1420.85 718.85 
25 small blue semi-circle  84.08 324.08 
26 small purple semi-circle  972.08 51.08 
27 small yellow circle  1563.59 181.59 
28 medium purple triangle  348.47 665.47 
29 medium green cross  244.62 273.62 
30 large blue triangle  1117.85 147.85 
31 medium green circle  66.17 185.17 
32 large yellow cross  1179.10 468.10 
33 medium green semi-circle  472.14 965.14 
34 medium yellow circle  434.17 756.17 
35 medium red semi-circle  1492.14 65.14 
36 small red cross  776.32 628.32 
37 small blue triangle  143.24 248.24 
38 large yellow circle  1202.56 833.56 
39 large purple cross  1079.10 947.10 
40 large purple semi-circle  1003.26 648.26 
41 large green cross  283.10 1105.10 
42 medium yellow square  1472.07 1124.07 
43 large blue cross  829.10 1070.10 
44 small yellow semi-circle  1534.08 830.08 
45 small blue cross  836.32 353.32 
46 small red triangle  1538.24 595.24 
47 small red semi-circle  647.08 1156.08 
48 large red triangle  119.85 685.85 
49 small green square  818.54 940.54 
50 large green semi-circle  111.26 471.26 
51 large blue semi-circle  565.26 514.26 
52 small blue square  1555.54 930.54 
53 large blue circle  900.56 211.56 
54 small green cross  1243.32 967.32 
55 small green triangle  943.24 996.24 
56 medium green square  1223.07 1112.07 
57 medium blue circle  645.17 984.17 
58 medium yellow cross  832.62 90.62 
59 small blue circle  867.59 455.59 
60 medium red triangle  1348.47 415.47 
61 large yellow semi-circle  323.26 867.26 
62 large green square  928.38 852.38 
63 large red circle  594.56 859.56 
64 large green triangle  343.85 481.85 
65 small red square  1371.54 1138.54 
66 large yellow square  210.38 106.38 
67 small purple square  56.54 82.54 
68 medium yellow triangle  381.47 106.47 
69 small green circle  1303.59 32.59 
70 medium red cross  824.62 545.62 
71 medium blue cross  775.62 851.62 
72 small yellow square  52.54 1157.54 
73 small green semi-circle  148.08 1106.08 
74 small yellow triangle  859.24 725.24 
75 large purple square  670.38 254.38 

46
62
01 medium blue square  695.07 1066.07 
02 large purple circle  493.56 1100.56 
03 small red semi-circle  1278.08 1008.08 
04 large blue square  1214.38 856.38 
05 small blue semi-circle  177.08 556.08 
06 medium purple semi-circle  1508.14 542.14 
07 medium yellow square  1212.07 488.07 
08 large red square  331.38 84.38 
09 small purple semi-circle  77.08 507.08 
10 small blue triangle  490.24 42.24 
11 medium purple square  1038.07 816.07 
12 large blue semi-circle  816.26 237.26 
13 medium yellow triangle  761.47 914.47 
14 small red circle  709.59 625.59 
15 medium red circle  90.17 1150.17 
16 medium blue cross  1190.62 60.62 
17 small purple triangle  262.24 309.24 
18 medium green cross  98.62 797.62 
19 small green triangle  1555.24 94.24 
20 small purple circle  338.59 244.59 
21 small blue cross  1458.32 45.32 
22 large yellow semi-circle  524.26 213.26 
23 medium yellow circle  209.17 186.17 
24 medium blue triangle  987.47 133.47 
25 large green circle  551.56 921.56 
26 medium yellow cross  57.62 252.62 
27 large yellow triangle  901.85 1053.85 
28 large yellow cross  546.10 600.10 
29 medium green circle  535.17 386.17 
30 large blue circle  915.56 455.56 
31 large purple triangle  258.85 1096.85 
32 large green cross  111.10 944.10 
33 medium purple circle  857.17 576.17 
34 large red circle  1481.56 204.56 
35 large green semi-circle  314.26 620.26 
36 small blue square  748.54 368.54 
37 small blue circle  1089.59 95.59 
38 large purple cross  706.10 761.10 
39 small red cross  470.32 498.32 
40 large red triangle  1434.85 1021.85 
41 medium green triangle  661.47 84.47 
42 small yellow triangle  1301.24 1095.24 
43 large yellow circle  894.56 850.56 
44 large purple square  1132.38 238.38 
45 medium red square  1487.07 384.07 
46 medium green semi-circle  826.14 65.14 
47 small yellow square  548.54 774.54 
48 large blue triangle  1309.85 337.85 
49 small purple square  1393.54 471.54 
50 small green square  937.54 320.54 
51 small green cross  1498.32 701.32 
52 large blue cross  250.10 827.10 
53 small green circle  471.59 771.59 
54 large green square  691.38 491.38 
55 medium green square  1485.07 801.07 
56 small yellow cross  1388.32 1161.32 
57 medium blue semi-circle  904.14 699.14 
58 small yellow circle  252.59 473.59 
59 small red square  1559.54 935.54 
60 large yellow square  377.38 378.38 
61 medium red triangle  1062.47 942.47 
62 medium purple cross  392.62 988.62 
63 small red triangle  1514.24 1157.24 
64 small green semi-circle  1167.08 383.08 
65 large red cross  147.10 376.10 
66 small purple cross  640.32 1158.32 
67 small yellow semi-circle  1335.08 784.08 
68 medium red cross  1048.62 405.62 
69 large purple semi-circle  1139.26 1097.26 
70 medium yellow semi-circle  400.14 861.14 
71 medium purple triangle  1346.47 110.47 
72 medium red semi-circle  87.14 628.14 
73 large red semi-circle  1332.26 627.26 
74 large green triangle  1073.85 639.85 
75 medium blue circle  79.17 105.17 

47
40
01 small blue semi-circle  1451.08 136.08 
02 medium yellow triangle  1375.47 373.47 
03 medium red triangle  240.47 843.47 
04 large yellow semi-circle  612.26 646.26 
05 large blue triangle  1215.85 954.85 
06 medium yellow circle  340.17 719.17 
07 large blue square  86.38 747.38 
08 large red square  918.38 845.38 
09 medium green circle  228.17 716.17 
10 small blue square  1448.54 714.54 
11 large green circle  79.56 1114.56 
12 medium red cross  116.62 937.62 
13 large red semi-circle  158.26 526.26 
14 small green circle  965.59 45.59 
15 medium purple cross  674.62 485.62 
16 small green cross  734.32 1164.32 
17 small blue cross  706.32 1001.32 
18 medium blue triangle  624.47 142.47 
19 large purple triangle  866.85 1048.85 
20 small yellow cross  785.32 429.32 
21 medium red square  1112.07 1097.07 
22 medium red semi-circle  503.14 72.14 
23 small red circle  84.59 105.59 
24 small yellow circle  1522.59 700.59 
25 medium green cross  1046.62 617.62 
26 small blue triangle  554.24 401.24 
27 small purple triangle  757.24 597.24 
28 large yellow triangle  1000.85 201.85 
29 medium blue cross  241.62 264.62 
30 medium yellow cross  99.62 357.62 
31 medium yellow square  341.07 1115.07 
32 large blue semi-circle  404.26 503.26 
33 large green semi-circle  483.26 259.26 
34 large purple semi-circle  1252.26 560.26 
35 small purple cross  1550.32 787.32 
36 small purple semi-circle  1399.08 64.08 
37 medium blue square  253.07 1028.07 
38 small red semi-circle  671.08 265.08 
39 small purple circle  1349.59 892.59 
40 small blue circle  1503.59 1113.59 
41 medium purple square  247.07 386.07 
42 large yellow square  224.38 88.38 
43 large red cross  1120.10 746.10 
44 medium purple semi-circle  1310.14 747.14 
45 large purple circle  851.56 522.56 
46 large purple cross  775.10 103.10 
47 large green cross  1006.10 472.10 
48 medium green triangle  1534.47 946.47 
49 large green square  812.38 298.38 
50 large yellow cross  363.10 935.10 
51 large red triangle  574.85 1072.85 
52 medium red circle  1546.17 113.17 
53 large yellow circle  705.56 884.56 
54 small red triangle  284.24 612.24 
55 small red cross  457.32 703.32 
56 medium blue semi-circle  500.14 803.14 
57 small yellow square  794.54 780.54 
58 large blue circle  1219.56 371.56 
59 large purple square  1334.38 209.38 
60 small green square  1000.54 1134.54 
61 large blue cross  1401.10 1038.10 
62 medium green square  89.07 233.07 
63 small red square  363.54 157.54 
64 small yellow triangle  350.24 341.24 
65 medium yellow semi-circle  1039.14 956.14 
66 small purple square  571.54 488.54 
67 medium purple circle  1476.17 841.17 
68 medium purple triangle  921.47 682.47 
69 small green semi-circle  1150.08 234.08 
70 small green triangle  499.24 916.24 
71 small yellow semi-circle  634.08 357.08 
72 large green triangle  1461.85 552.85 
73 large red circle  1512.56 312.56 
74 medium green semi-circle  1172.14 68.14 
75 medium blue circle  1214.17 1143.17 

48
20
01 medium purple circle  1019.17 968.17 
02 large red circle  981.56 838.56 
03 medium red circle  456.17 869.17 
04 large yellow semi-circle  583.26 778.26 
05 large yellow cross  81.10 820.10 
06 medium green circle  1471.17 553.17 
07 small yellow circle  1492.59 946.59 
08 large green triangle  175.85 179.85 
09 large blue semi-circle  366.26 298.26 
10 large red square  1503.38 211.38 
11 medium yellow square  845.07 888.07 
12 medium blue circle  736.17 597.17 
13 large red semi-circle  1291.26 935.26 
14 large yellow triangle  120.85 562.85 
15 medium red semi-circle  1127.14 810.14 
16 large purple cross  313.10 604.10 
17 small red square  681.54 57.54 
18 small purple cross  250.32 718.32 
19 small green square  1502.54 50.54 
20 small red semi-circle  590.08 946.08 
21 small purple triangle  650.24 1151.24 
22 small blue square  207.54 881.54 
23 small green semi-circle  538.08 403.08 
24 small purple semi-circle  1349.08 1120.08 
25 medium yellow cross  1470.62 1052.62 
26 medium blue triangle  1516.47 384.47 
27 large green cross  1442.10 808.10 
28 large green circle  91.56 374.56 
29 medium green triangle  665.47 451.47 
30 small green cross  75.32 50.32 
31 large purple semi-circle  276.26 1033.26 
32 small yellow triangle  1073.24 303.24 
33 large green square  535.38 545.38 
34 medium yellow semi-circle  1238.14 1103.14 
35 medium green square  1063.07 413.07 
36 medium red cross  1312.62 166.62 
37 small red triangle  1526.24 1154.24 
38 medium purple triangle  844.47 746.47 
39 medium green cross  933.62 649.62 
40 small blue cross  1563.32 842.32 
41 large blue square  948.38 224.38 
42 medium green semi-circle  1349.14 686.14 
43 medium yellow triangle  468.47 85.47 
44 medium blue semi-circle  1389.14 66.14 
45 medium yellow circle  1234.17 752.17 
46 large blue cross  894.10 1059.10 
47 medium blue cross  74.62 1075.62 
48 medium purple square  330.07 99.07 
49 small blue circle  916.59 362.59 
50 small blue triangle  725.24 826.24 
51 medium purple cross  123.62 957.62 
52 medium blue square  548.07 298.07 
53 medium purple semi-circle  332.14 793.14 
54 small green circle  413.59 947.59 
55 large purple square  1309.38 420.38 
56 small red circle  1566.59 491.59 
57 large green semi-circle  855.26 491.26 
58 small blue semi-circle  1175.08 423.08 
59 large purple triangle  762.85 280.85 
60 large yellow circle  607.56 145.56 
61 small red cross  1551.32 636.32 
62 small yellow square  442.54 426.54 
63 small yellow cross  425.32 683.32 
64 large blue circle  1192.56 279.56 
65 large red cross  1124.10 589.10 
66 small purple circle  1252.59 552.59 
67 small green triangle  165.24 1136.24 
68 medium red triangle  231.47 409.47 
69 small yellow semi-circle  792.08 1157.08 
70 large blue triangle  1100.85 104.85 
71 large purple circle  727.56 1044.56 
72 large red triangle  514.85 1085.85 
73 medium red square  1109.07 1070.07 
74 large yellow square  812.38 90.38 
75 small purple square  1392.54 304.54 

49
46
01 small green semi-circle  202.08 657.08 
02 large yellow cross  1405.10 900.10 
03 medium green square  1302.07 54.07 
04 small red semi-circle  127.08 57.08 
05 large blue cross  476.10 395.10 
06 large red cross  1141.10 724.10 
07 medium yellow square  143.07 922.07 
08 medium red square  1110.07 865.07 
09 large green semi-circle  953.26 766.26 
10 small green square  780.54 916.54 
11 small yellow triangle  1545.24 921.24 
12 large blue circle  1453.56 373.56 
13 small purple semi-circle  733.08 630.08 
14 large purple triangle  1285.85 265.85 
15 large blue triangle  536.85 1096.85 
16 large red square  808.38 184.38 
17 small yellow circle  163.59 1137.59 
18 small purple circle  1535.59 807.59 
19 small red triangle  637.24 724.24 
20 large blue semi-circle  105.26 365.26 
21 small blue cross  1437.32 493.32 
22 medium green triangle  90.47 636.47 
23 small red circle  391.59 1147.59 
24 small purple triangle  234.24 40.24 
25 small purple square  164.54 497.54 
26 medium purple circle  874.17 611.17 
27 small green cross  36.32 906.32 
28 medium blue triangle  918.47 367.47 
29 large green cross  1165.10 1091.10 
30 large red circle  602.56 574.56 
31 medium blue square  1284.07 642.07 
32 small green circle  1546.59 1001.59 
33 medium red cross  987.62 522.62 
34 small purple cross  748.32 33.32 
35 small red square  1270.54 749.54 
36 large yellow triangle  1462.85 122.85 
37 medium yellow circle  275.17 824.17 
38 small blue triangle  489.24 612.24 
39 small yellow semi-circle  1044.08 1146.08 
40 large purple cross  1503.10 611.10 
41 small red cross  925.32 51.32 
42 medium red semi-circle  347.14 276.14 
43 small blue semi-circle  850.08 1125.08 
44 medium yellow semi-circle  1254.14 920.14 
45 large purple semi-circle  1113.26 391.26 
46 large purple circle  113.56 783.56 
47 medium yellow cross  250.62 1085.62 
48 medium red circle  1375.17 759.17 
49 medium green cross  96.62 153.62 
50 medium purple semi-circle  65.14 1023.14 
51 large green circle  1360.56 1096.56 
52 medium purple square  501.07 77.07 
53 medium green semi-circle  762.14 783.14 
54 medium red triangle  330.47 703.47 
55 medium blue circle  1544.17 1096.17 
56 small blue square  655.54 70.54 
57 medium blue semi-circle  756.14 1047.14 
58 large green square  652.38 911.38 
59 small yellow cross  686.32 1140.32 
60 large yellow square  366.38 980.38 
61 large yellow semi-circle  606.26 212.26 
62 large purple square  781.38 445.38 
63 large red semi-circle  323.26 514.26 
64 medium blue cross  375.62 92.62 
65 small blue circle  436.59 222.59 
66 large red triangle  962.85 977.85 
67 medium purple triangle  1315.47 475.47 
68 medium purple cross  635.62 402.62 
69 small yellow square  500.54 899.54 
70 medium green circle  46.17 513.17 
71 small green triangle  949.24 237.24 
72 large green triangle  1056.85 132.85 
73 large blue square  485.38 765.38 
74 large yellow circle  247.56 169.56 
75 medium yellow triangle  1118.47 565.47 

50
46
01 small yellow cross  197.32 1157.32 
02 large purple square  663.38 802.38 
03 large yellow semi-circle  170.26 426.26 
04 small blue cross  515.32 720.32 
05 medium green triangle  1509.47 305.47 
06 small green square  801.54 798.54 
07 medium green semi-circle  146.14 109.14 
08 medium red cross  464.62 403.62 
09 medium blue cross  761.62 323.62 
10 large green cross  1309.10 872.10 
11 small blue triangle  205.24 280.24 
12 medium red circle  1541.17 430.17 
13 small green cross  1119.32 841.32 
14 large yellow cross  972.10 516.10 
15 large blue cross  465.10 836.10 
16 medium yellow circle  1151.17 963.17 
17 large green circle  118.56 793.56 
18 medium green circle  1269.17 394.17 
19 large yellow circle  1505.56 767.56 
20 large blue circle  681.56 1026.56 
21 medium purple square  96.07 939.07 
22 large blue semi-circle  1340.26 253.26 
23 large red semi-circle  1123.26 239.26 
24 medium blue semi-circle  311.14 75.14 
25 medium red triangle  956.47 158.47 
26 large green semi-circle  302.26 981.26 
27 small purple circle  245.59 157.59 
28 large green square  287.38 678.38 
29 small blue circle  274.59 822.59 
30 small green semi-circle  649.08 1157.08 
31 small green circle  1213.59 546.59 
32 large red square  571.38 271.38 
33 small purple semi-circle  177.08 604.08 
34 medium green square  963.07 682.07 
35 small blue semi-circle  1032.08 766.08 
36 large green triangle  701.85 105.85 
37 large yellow triangle  1186.85 702.85 
38 small red triangle  1556.24 70.24 
39 medium green cross  1064.62 67.62 
40 large blue triangle  1020.85 1093.85 
41 medium yellow triangle  1447.47 1027.47 
42 large red cross  522.10 588.10 
43 medium red square  58.07 287.07 
44 large red circle  936.56 320.56 
45 medium purple circle  882.17 55.17 
46 small red square  858.54 683.54 
47 large yellow square  916.38 855.38 
48 medium blue circle  1506.17 1138.17 
49 small yellow square  748.54 920.54 
50 small yellow triangle  1387.24 1146.24 
51 large red triangle  499.85 1064.85 
52 small red cross  1043.32 362.32 
53 large blue square  1249.38 1095.38 
54 medium blue square  1538.07 921.07 
55 small purple triangle  634.24 671.24 
56 small red semi-circle  1449.08 43.08 
57 small red circle  1366.59 720.59 
58 small green triangle  832.24 233.24 
59 large purple cross  349.10 497.10 
60 large purple circle  366.56 268.56 
61 large purple semi-circle  705.26 485.26 
62 large purple triangle  1438.85 569.85 
63 medium purple cross  1485.62 145.62 
64 medium yellow semi-circle  90.14 1076.14 
65 medium blue triangle  1158.47 440.47 
66 medium red semi-circle  1269.14 92.14 
67 medium purple semi-circle  449.14 67.14 
68 small yellow circle  343.59 1148.59 
69 small purple square  1036.54 926.54 
70 medium yellow square  856.07 991.07 
71 small purple cross  1431.32 422.32 
72 medium purple triangle  800.47 1125.47 
73 small blue square  847.54 559.54 
74 medium yellow cross  56.62 659.62 
75 small yellow semi-circle  424.08 703.08 

51
39
01 medium yellow cross  63.62 723.62 
02 large red cross  323.10 627.10 
03 medium red circle  676.17 1119.17 
04 large yellow triangle  616.85 353.85 
05 small blue square  1224.54 62.54 
06 large green cross  1378.10 535.10 
07 small blue circle  43.59 616.59 
08 medium blue semi-circle  853.14 148.14 
09 large purple semi-circle  384.26 263.26 
10 medium green square  468.07 109.07 
11 medium red cross  962.62 53.62 
12 small yellow circle  224.59 555.59 
13 small purple square  384.54 34.54 
14 medium blue cross  1068.62 985.62 
15 medium green semi-circle  437.14 450.14 
16 small green semi-circle  78.08 1134.08 
17 medium blue square  329.07 893.07 
18 medium red square  1248.07 189.07 
19 small purple circle  226.59 407.59 
20 medium green triangle  995.47 1135.47 
21 small green square  789.54 777.54 
22 medium red triangle  1229.47 459.47 
23 large purple cross  1344.10 336.10 
24 small yellow triangle  95.24 934.24 
25 small red square  537.54 731.54 
26 small blue semi-circle  1548.08 963.08 
27 large blue cross  819.10 354.10 
28 medium blue circle  244.17 67.17 
29 large yellow semi-circle  1230.26 1064.26 
30 large blue triangle  841.85 917.85 
31 large green circle  996.56 822.56 
32 large purple triangle  1421.85 116.85 
33 large green semi-circle  942.26 619.26 
34 small yellow cross  368.32 112.32 
35 small red semi-circle  561.08 1120.08 
36 large blue square  123.38 477.38 
37 large red circle  623.56 143.56 
38 small green circle  140.59 658.59 
39 large yellow square  1160.38 612.38 
40 small purple triangle  1349.24 1158.24 
41 small purple cross  1337.32 845.32 
42 medium purple square  1194.07 333.07 
43 medium purple circle  364.17 760.17 
44 large blue semi-circle  1052.26 218.26 
45 small green triangle  757.24 210.24 
46 large yellow circle  1438.56 906.56 
47 large green triangle  633.85 578.85 
48 large purple circle  524.56 851.56 
49 large yellow cross  187.10 800.10 
50 small red triangle  700.24 861.24 
51 small yellow square  58.54 825.54 
52 medium blue triangle  1305.47 731.47 
53 medium yellow circle  112.17 118.17 
54 small yellow semi-circle  321.08 410.08 
55 large red triangle  1479.85 720.85 
56 large blue circle  1525.56 328.56 
57 large purple square  1470.38 1101.38 
58 small red circle  40.59 999.59 
59 medium green circle  1038.17 455.17 
60 medium purple semi-circle  1205.14 849.14 
61 medium yellow semi-circle  627.14 951.14 
62 medium red semi-circle  838.14 1100.14 
63 medium purple triangle  806.47 509.47 
64 medium yellow square  724.07 54.07 
65 small blue cross  292.32 1156.32 
66 small blue triangle  902.24 251.24 
67 medium yellow triangle  1531.47 479.47 
68 large red square  184.38 1035.38 
69 small purple semi-circle  1095.08 754.08 
70 large green square  434.38 1040.38 
71 small red cross  1309.32 940.32 
72 medium green cross  463.62 608.62 
73 large red semi-circle  145.26 272.26 
74 medium purple cross  665.62 750.62 
75 small green cross  981.32 381.32 

52
34
01 medium blue square  752.07 73.07 
02 small purple square  999.54 571.54 
03 small blue square  813.54 261.54 
04 small blue cross  1281.32 777.32 
05 small green circle  1559.59 935.59 
06 medium red square  765.07 1145.07 
07 large blue cross  1418.10 900.10 
08 large yellow circle  141.56 321.56 
09 medium red semi-circle  109.14 656.14 
10 medium green circle  983.17 685.17 
11 medium purple square  717.07 240.07 
12 medium yellow triangle  76.47 1133.47 
13 small red triangle  1011.24 968.24 
14 small yellow triangle  56.24 425.24 
15 large yellow square  173.38 151.38 
16 large red triangle  1098.85 1093.85 
17 small purple circle  1281.59 315.59 
18 small green triangle  940.24 1102.24 
19 medium yellow semi-circle  1140.14 298.14 
20 large green cross  607.10 1011.10 
21 medium purple circle  1507.17 511.17 
22 large purple semi-circle  1295.26 143.26 
23 medium blue triangle  1501.47 68.47 
24 small blue circle  874.59 708.59 
25 small purple triangle  1329.24 1011.24 
26 medium green semi-circle  106.14 938.14 
27 small purple semi-circle  82.08 765.08 
28 large blue circle  636.56 558.56 
29 medium red triangle  1377.47 459.47 
30 large green circle  1197.56 934.56 
31 large purple circle  1236.56 431.56 
32 large purple triangle  1463.85 292.85 
33 medium yellow square  1530.07 655.07 
34 medium green square  453.07 1103.07 
35 large yellow cross  227.10 773.10 
36 small red square  1189.54 820.54 
37 medium blue circle  1548.17 840.17 
38 medium blue cross  959.62 458.62 
39 small green semi-circle  277.08 62.08 
40 small yellow square  339.54 648.54 
41 large red circle  156.56 502.56 
42 medium red cross  255.62 595.62 
43 small red semi-circle  42.08 551.08 
44 large green semi-circle  548.26 194.26 
45 medium green triangle  587.47 842.47 
46 small green square  549.54 1125.54 
47 medium green cross  1284.62 1134.62 
48 small green cross  1165.32 728.32 
49 large red semi-circle  385.26 916.26 
50 small blue triangle  450.24 73.24 
51 small purple cross  614.32 58.32 
52 small yellow cross  219.32 937.32 
53 large blue square  815.38 555.38 
54 small blue semi-circle  1092.08 442.08 
55 large purple cross  907.10 104.10 
56 large green square  1282.38 627.38 
